method	dataset	attributes	types	nb_attributes	depthmax	class_attribute	wanted_label	alpha	top_k	nb_patterns_top	support_size	support_size_ratio	tpr	fpr	quality	timespent
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	8	class	3	0.19832402234636873	5.0	5.0	309.0	0.8631284916201117	0.9577464788732394	0.8362369337979094	0.019318997534409032	2.3601300716400146
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	8	class	3	0.19832402234636873	5.0	5.0	297.0	0.8296089385474861	0.8450704225352113	0.8257839721254355	0.0030663836958896413	2.3733315467834473
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	30.0	8	class	3	0.19832402234636873	5.0	5.0	300.0	0.8379888268156425	0.9014084507042254	0.8222996515679443	0.012577634905277616	2.2424633502960205
MCTS4DM	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab', 'o', 'aa', 'h', 'ah']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	34.0	8	class	3	0.19832402234636873	5.0	5.0	324.0	0.9050279329608939	0.9014084507042254	0.9024390243902439	-0.0001638525639025006	2.426621675491333
CN2SD	dermatology	['k']	['numeric']	1.0	-1.0	class	3	0.19832402234636873	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.16499996185302734
CN2SD	dermatology	['k', 'm']	['numeric', 'numeric']	2.0	-1.0	class	3	0.19832402234636873	5.0	2.0	0.0	0.0	0.0	0.0	0.0	0.17999982833862305
CN2SD	dermatology	['k', 'm', 'u']	['numeric', 'numeric', 'numeric']	3.0	-1.0	class	3	0.19832402234636873	5.0	1.0	0.0	0.0	0.0	0.0	0.0	0.2219998836517334
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric']	5.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	0.5910000801086426
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	8.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	1.7139997482299805
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	10.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	2.384000062942505
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	12.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	2.934000015258789
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	15.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	4.43399977684021
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	20.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	4.496999979019165
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	25.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	5.680000066757202
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	30.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	7.1000001430511475
CN2SD	dermatology	['k', 'm', 'u', 'ac', 'f', 'q', 'e', 'a', 'r', 'w', 't', 's', 'v', 'b', 'ad', 'i', 'g', 'c', 'y', 'd', 'af', 'ae', 'l', 'x', 'ag', 'p', 'n', 'j', 'z', 'ab', 'o', 'aa', 'h', 'ah']	['numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric', 'numeric']	34.0	-1.0	class	3	0.19832402234636873	5.0	1.0	358.0	0.9944444444444445	1.0	1.0	0.0	7.493999719619751
